Métier de l’Agroéquipement,1056,326,,2018-01-16 00:00:00,Formation Professionnelle Maroc,UCER6IpG62MJgMzdgMhDad2g,https://www.youtube.com/channel/UCER6IpG62MJgMzdgMhDad2g,"['Agriculture', 'métier', 'maroc', 'jeune', 'formation', 'professionnelle', 'orientation', 'administration']",iNorZt7VYJI
BAC PRO Agroéquipement,53010,729,,2016-11-04 00:00:00,MFR SAINT ROMAIN DE POPEY,UC5ulJDk77spJeAwZOLepwwA,https://www.youtube.com/channel/UC5ulJDk77spJeAwZOLepwwA,"['bac pro agroéquipement', 'mfr saint romain', 'saint romain de popey', 'agroéquipement', 'machinisme', 'tracteur', 'mfr', ""conducteur d'engins"", 'chauffeur']",agvdj_3xaj0
Les métiers de l'AGROÉQUIPEMENT,1563,288,Découvrez certains métiers du pôle AGROÉQUIPEMENT du Groupe CAL à travers les témoignages de nos collaborateurs.,2020-06-03 00:00:00,Groupe CAL - Coopérative Agricole Lorraine,UCdkkxzkWiseC7gEUxZNmT3g,https://www.youtube.com/channel/UCdkkxzkWiseC7gEUxZNmT3g,[],t9kBxTl2zY0
Les risques professionnels en agriculture par Tle BAC PRO Agroéquipement,2744292,519,"Vidéo réalisée par les apprentis de la classe de Tle BAC PRO Agroéquipement, dans le cadre du Forum de l'Installation en Agriculture organisé le 01/12/2016 par les Jeunes Agriculteurs de la Dordogne, sur le thème des risques professionnels en agriculture.",2016-12-16 00:00:00,"MFR du Périgord Vert, l'Officielle",UC1b8cYXe8t3RGte5JRwBRyQ,https://www.youtube.com/channel/UC1b8cYXe8t3RGte5JRwBRyQ,[],uZVBKuNU5ik
Présentation du Bac Pro Agroéquipement,128,84,,2021-01-27 00:00:00,Giel Don Bosco,UCQCgBlo8GHImpuS4nj3hBrg,https://www.youtube.com/channel/UCQCgBlo8GHImpuS4nj3hBrg,[],yQTJ4WZWC_A
Un été en stage de Bac PRO agroéquipement à la ferme 2018 | [GOPRO] | Case IH - John Deere,6421,463,,2018-08-31 00:00:00,Tractoriste Passion 57,UCeT9JdLaBOGeO09C78W88-A,https://www.youtube.com/channel/UCeT9JdLaBOGeO09C78W88-A,"['Agroéquipement', 'bac', 'pro', 'agroec', 'GoPro', 'tracteur', 'machinisme', 'stage', 'été', 'ferme', 'Case', 'IH', 'John', 'Deere', 'New', 'Holland', 'NH', 'Mac', 'Cormick', 'Renault', 'Fenaison', 'moisson', 'épandage', 'fumier', 'girl', 'femme', 'fille', 'disque', 'déchaumage', 'agriculteur', 'tracotriste', 'passion', '57', '2018', '2k18', ""18'"", 'vie', 'lycée', 'agricole', 'Mirecourt', 'LEGTA', 'Vosges', '88', '7530', '7930', 'STS', '9880i', '9880', '125', '160', '165', '185', '245', 'ares', 'mx', 'mtx', '140', 'formation']",Ty7LuG3kDC0
Filières Agroéquipement,5,101,,2022-02-03 00:00:00,CFA Agricole Public des Hauts-de-France,UCsx9RL_-6JW7lQQyFl43xmg,https://www.youtube.com/channel/UCsx9RL_-6JW7lQQyFl43xmg,[],g-aLGmIlLuI
L' Année 2018 par ALC agroéquipement - BEST OF AGRICOLE 2018,4120,325,"Voilà l'année 2018 qui se termine avec cette vidéo la retraçant, j'espère que cela vous plairas et un grand merci aux chauffeurs, entrepreneurs et agriculteurs. Je vous souhaite de bonnes fêtes de fin d'année et un bon visionnage ! MERCI !",2018-12-29 00:00:00,ALC agroéquipement,UCmfgweJ5d5ZzTz9YmlcncLw,https://www.youtube.com/channel/UCmfgweJ5d5ZzTz9YmlcncLw,[],F2LLn5jnMoU
Porte ouverte MFR IREO - Formation Agroéquipement,4286,222,"Nouvelle vidéo réalisée lors de la porte ouverte de la MFR IREO de Condé Sur Vire dans la Manche (50). Ils proposent des formations agroéquipement en alternance et apprentissage. De la 4eme au BAC Pro et CS Mécanique. Avec option Lait ou TP, plus passage des CASES pour celui ou celle qui sont intéressé(e)s.

Dans la vidéo découverte des ateliers, ainsi que le matériel de la MFR.  Les ensileuses et le MF avec l'autochargeuse n'appartiennent pas à l'établissement. 

Bon visionnage et à très vite !",2019-03-23 00:00:00,Mimi Agri,UC7L8oe_qWcjW2tJVpMMLpnQ,https://www.youtube.com/channel/UC7L8oe_qWcjW2tJVpMMLpnQ,[],NLW2edKH8sU
BPA par apprentissage en agroéquipement,16,71,,2021-01-27 00:00:00,Formation pro et apprentissage agricole de l'Aude,UCAtK9vHZW-7Z7fqFfoiObzQ,https://www.youtube.com/channel/UCAtK9vHZW-7Z7fqFfoiObzQ,[],YkZVezMcNtQ
